tool_id,tool_name,category,launch_year,age_years,pricing_model,access_method,open_source,github_stars,google_trends_score,monthly_web_visits_k,api_available,integration_count,user_friendliness_score,marketing_effort_score,ecosystem_score,retention_proxy,enterprise_features,success_label
1,ChatGPT,consumer_ai,2016,9,subscription,api,True,897,55,49250,True,10,7.2,5.2,7.3,0.73,False,1
2,Claude,creative_ai,2018,7,free,cli,True,0,15,37854,True,3,5.8,6.6,5.1,0.45,True,0
3,Perplexity,productivity_ai,2016,9,usage_based,web_app,False,0,52,7478,True,3,5.4,1.2,4.7,0.61,False,1
4,Midjourney,consumer_ai,2015,10,freemium,api,True,0,66,14941,True,1,5.6,4.9,4.8,0.59,False,1
5,Stable Diffusion,productivity_ai,2023,2,free,cli,True,0,23,31296,True,2,6.8,7.3,4.0,0.37,False,0
6,DALL·E,ml_platform,2018,7,enterprise,ide_plugin,False,6658,19,2626,True,10,5.5,6.7,8.1,0.62,True,1
7,Adobe Firefly,enterprise_ai,2018,7,enterprise,desktop_app,True,0,57,58955,True,12,7.7,8.2,5.9,0.59,False,1
8,Runway,creative_ai,2015,10,usage_based,desktop_app,False,0,39,56349,True,0,5.9,5.4,3.2,0.48,True,0
9,ElevenLabs,creative_ai,2019,6,freemium,desktop_app,False,33462,77,90569,True,6,5.3,4.5,7.8,0.63,True,1
10,Synthesia,consumer_ai,2016,9,usage_based,web_app,True,0,21,5107,True,4,5.9,2.6,6.6,0.65,False,1
11,Descript,developer_ai,2020,5,enterprise,desktop_app,False,0,49,14317,True,0,6.8,1.5,4.1,0.67,True,1
12,Pika Labs,ml_platform,2015,10,usage_based,cli,True,0,72,10853,False,9,6.6,10.0,5.6,0.45,True,0
13,Hugging Face,enterprise_ai,2016,9,free,cli,False,3096,51,45274,True,3,8.6,8.3,4.2,0.51,False,0
14,Weights & Biases,ml_platform,2019,6,enterprise,desktop_app,False,0,42,4817,False,2,7.5,3.1,7.1,0.66,False,1
15,LangChain,creative_ai,2024,1,free,web_app,False,1465,21,17182,False,10,7.7,3.0,6.5,0.76,False,0
16,LlamaIndex,developer_ai,2018,7,free,api,True,0,55,202,True,3,6.9,6.2,4.6,0.52,False,0
17,Pinecone,enterprise_ai,2016,9,subscription,ide_plugin,True,20585,69,42872,False,7,8.1,8.2,7.5,0.57,True,1
18,OpenAI API,creative_ai,2020,5,subscription,desktop_app,False,0,100,27131,True,6,4.4,4.0,7.8,0.58,False,1
19,Anthropic API,ml_platform,2018,7,subscription,web_app,True,0,59,132549,False,5,4.9,6.5,5.6,0.49,True,0
20,Cohere,ml_platform,2024,1,freemium,cli,False,0,62,4089,False,13,8.1,4.8,4.1,0.54,False,0
21,Tabnine,creative_ai,2018,7,usage_based,ide_plugin,False,0,22,66294,False,2,6.6,3.2,6.7,0.68,False,1
22,Replit Ghostwriter,ml_platform,2019,6,enterprise,api,False,0,54,16499,True,6,6.5,7.2,8.9,0.64,True,1
